reaction	flux
HG2t3pp	395.4324157
GSNt2pp	324.1899068
ORPT	694.171119
THRt2pp	314.9409273
PYRtex	989.8579924
PTRCtex	906.8682464
TRPtex	783.4269099
FE3HOXR1	474.436064
FE3HOXR2	875.4622701
FE3HOXR3	325.0014114
LPLIPAL2A161	282.1527851
MSO3abcpp	739.2087143
AGMT	925.5712901
MALCOAMT	891.5369885
PGPP161pp	629.9499575
ACOAD5f	481.037014
FUMt2_3pp	481.0406097
R1PK	404.2197701
SHKK	712.2055042
RMPA	946.0047644
ALR4x	595.3264018
23PDE9pp	11.12308348
ETOHtrpp	821.4694273
GTPtex	863.2485612
NTPP2	763.31383
ACACt2pp	510.5015141
FTHFD	291.6706746
FDH4pp	739.2968327
GLTPD	685.6370467
ASCBPL	80.84974871
PGSA141	689.8968039
MANGLYCptspp	208.7690958
SO4t2pp	477.152765
UPPRT	347.2785665
GPDDA5	992.3909442
GPDDA5pp	842.7218159
GUACYC	916.1871305
UDPGLCURtex	927.1895595
BTNtex	360.5570508
23CAMPtex	145.1461771
COBALT2t3pp	226.2236432
23CGMPtex	591.3743209
LPLIPAL1G160pp	49.07866812
PLIPA1A160pp	342.8627767
FDMO4	198.5504472
CYANST	265.9507861
PG161abcpp	205.4869257
ASPt2_3pp	230.6750121
HCYSMT	26.36176615
INSK	492.0262222
PNTK	862.1661693
23DAPPAtex	837.3703816
SERt4pp	767.8502887
GF6PTA	792.4225494
G3PAT160	610.7912619
ALDD2y	857.406039
4HTHRS	943.0217533
PA161abcpp	643.0991383
GSNK	319.859924
ASPK	900.0175615
TMPK	463.1714378
GLYOX	341.7689114
TTDCEAtexi	588.6594529
ACGAtex	786.6507668
GTPDPDP	236.3902906
ACOLIPAabctex	948.3540672
TREH	756.8249136
MTHFD	515.7137483
SERAT	121.182339
BALAtex	140.5319994
CTBTabcpp	824.3197671
TTRCYCtex	596.6192655
GALKr	918.2983231
ALLTNt2rpp	63.20131554
CPGNexs	358.0581083
PMANM	932.3340153
ABTA	213.2730427
INSTtex	785.440685
TCYNTtex	460.802488
ACMAMUT	368.1759848
GDPMNH	17.50035015
AGPAT120	547.7657429
GALabcpp	894.7674696
MALTHXabcpp	935.7634834
CYSabc2pp	322.2884598
MOAT	3.786437088
MOAT2	73.60497408
TKT1	692.8634725
TKT2	111.105267
O16AUNDtpp	405.6200132
G3PD6	675.466066
SELR	621.8708841
AMPTASECG	920.3155174
RNDR1b	739.3752209
ALCD2x	507.9687032
DAGK141	12.35887133
DHAD2	686.0524583
ETHSO3tex	723.4163609
HEMEOS	227.2926095
G1PPpp	333.1612886
GLYCtpp	95.9537583
ACMUMtex	565.7429691
APH140	532.8457233
2DGULRx	577.0592123
ACALDtpp	186.2802082
CYTDH	182.7273899
PHEtex	124.5910001
FACOAE60	386.2158771
MTHTHFSs	765.6300875
GALCTNLt2pp	130.9545925
PE161abcpp	353.3912463
TMAOR1	188.5589572
GLUN	181.4298975
GLUNpp	494.3024847
NTRIR2x	414.5622184
GMPtex	561.119277
LPLIPAL1E180pp	597.7041623
PROD2	162.0419949
G2PPpp	699.0991063
HEPT2	816.2093807
ASNS2	376.4280481
UDCPDP	192.7355945
ARBTNtpp	395.6932743
PGP140abcpp	62.09143779
3OAS181	465.4165385
CDAPPA161	699.3837391
FEOXAMR1	693.9755697
FEOXAMR2	601.7361845
FEOXAMR3	796.3385747
DM_5DRIB	62.90710751
3OAR181	505.8147166
GLCRt2rpp	370.3575983
3OAR100	959.4699313
BPNT	548.7473776
ACACCT	401.8320339
D-LACt2pp	670.5567272
3OAS100	832.7471789
SUCASPtpp	653.2970897
DMQMT	936.6960599
PGPP161	151.4930683
ADSK	846.3477474
G3PAT181	651.3803492
UGLT	658.1516757
GAMptspp	460.546822
4PCP	437.5527916
AGM4PCPpp	724.9121885
UDCPDPS	664.7070817
NADPHQR2	48.80076739
LIPOt2pp	134.0499575
DCAtex	778.5464884
LPLIPAL2A180	355.120576
MCOATA	779.9626898
MGSA	668.5032959
AMALT2	15.36038677
MELIBtex	278.7825775
CDAPPA141	944.1499908
PYROX	602.0945937
MMETtex	415.2976971
THMabcpp	312.5003757
ACGK	983.9849404
GLCDpp	791.8630487
RHAT1	726.0046416
A5PISO	423.1951829
F6PA	319.774783
TALA	544.9633999
BUTtex	29.07710747
FACOAE161	613.8208822
PPM2	938.558414
CYSSADS	170.7965148
UREAtpp	692.0952635
NADK	106.7500954
MTRPOX	689.410437
URAtex	310.1154029
AACPS6	476.0631071
DNTPPA	837.246687
PLIPA1A141pp	735.0980428
AGM3PA	98.34255268
FACOAL141t2pp	524.1114307
CLt3_2pp	769.2036166
FE3HOXUtpp	314.225589
DDGLCNt2rpp	397.6222595
GLYCLTtex	212.6239297
NTP11	964.6140797
LALGP	961.2797332
THRD_L	291.4107689
CYTBO3_4pp	175.1370058
OCTNLL	9.983715636
ACPPAT180	100.8055975
CLPNH160pp	992.4814333
SULFACabcpp	390.7110003
3OAS80	33.26675549
AB6PGH	494.1078199
GLYCL	935.1249177
23PDE2pp	858.7211479
DM_4CRSOL	582.9702068
PAPA140	499.9108914
NACODA	142.0895989
ASCBptspp	617.7619249
FEOXAMUtex	40.25753908
DHCINDO	625.4427907
GRTT	895.4459925
PPA2	358.4882032
NAtex	434.3936182
EAR121y	158.424753
PPALtpp	648.0743242
LIPATPT	575.4571705
ADK4	534.4703417
ECOAH7	299.5055387
XANtpp	637.5684145
DASYN141	480.5718204
GALUi	103.3389489
DURIK1	528.5454372
DADK	15.93418733
FE3DHBZSabcpp	992.4769828
OMPDC	128.6597844
ETHAt2pp	532.5613141
CLPNH120pp	227.7599266
GLYCtex	892.3252872
CTBTCAL2	593.9838837
DHPPDA2	697.0836845
FACOAE141	827.1943976
2AGPG160tipp	681.6991843
FRULYStex	577.0928824
5DGLCNR	70.7505601
AMPTASEPG	86.88363243
ECOAH3	125.1014923
THRTRS	332.2995187
RNDR2b	29.648983
ASPTRS	652.4732575
AGMtex	566.7413589
HEXt2rpp	167.454396
12PPDRtex	727.3974436
HEX7	679.4796446
RNTR3c2	457.814364
DINStex	686.7467902
PAPA180pp	491.195707
CMPtex	654.2809713
CSNtex	913.88227
MMCD	678.2820022
PGPP141pp	981.1800465
L-LACD3	375.4260165
FRULYSK	304.9432151
XAND	21.54863867
SUCCt2_3pp	569.7312653
NAt3pp	928.7340367
PGSA180	598.5081177
3OAR60	902.3598451
PE141abcpp	636.1633439
L-LACD2	198.375089
IPPMIb	316.7103904
2DGULRGx	841.5208016
LPLIPAL1A181pp	24.57259553
LPLIPAL1E140pp	898.775518
