nitrite transport via diffusion (extracellular to periplasm)	NO2tex	murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)
ferroxamine transport via ABC system (periplasm)	FEOXAMabcpp	Nitrate reductase (Menaquinol-8) (periplasm)
GTP cyclohydrolase II (25drapp)	GTPCII2	nitric oxide dioxygenase
GAR transformylase-T	GART	Nucleoside triphosphate tripolyhydrolase
"alpha,alpha-trehalase (periplasm)"	TREHpp	O16 antigen polymerase (periplasm)
"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)"	PLIPA1E181pp	phosphatidylglycerol phosphate phosphatase (n-C14:0)
Nucleoside triphosphate pyrophosphorylase (datp)	NTPP5	"phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)"
GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm)	AGM4Pt2pp	phosphoethanolamine transferase (c-C16:1)
Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	MNtex	polyphosphate kinase
deoxycytidine transport in via proton symport (periplasm)	DCYTt2pp	riboflavin synthase
"phosphatidate transport via ABC system (n-C14:0, periplasm)"	PA140abcpp	ribose 5-phosphate phosphatase
CDP-Diacylglycerol pyrophostatase (n-C18:1)	CDAPPA181	sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)
"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)"	CFAS180G	superoxide dismutase
D-serine transport in via proton symport (periplasm)	DSERt2pp	transketolase
acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)	APG3PAT141	tryptophan synthase (indoleglycerol phosphate)
cronobetaine outward transport (H+ antiport)	CTBTt2rpp	xylose isomerase
phosphoserine transaminase	PSERT	
1-deoxy-D-xylulose 5-phosphate synthase	DXPS	
manganese (Mn+2) transport in via proton symport (periplasm)	MNt2pp	
acyl-carrier protein synthase	ACPS1	
3-Oxo-pimeloyl-[ACP] methyl ester synthase	OPMEACPS	
"dTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase"	TDPADGAT	
cytidine transport via diffusion (extracellular to periplasm)	CYTDtex	
cytidine transport in via proton symport (periplasm)	CYTDt2pp	
D-Carnitine-CoA Ligase	CRNDCAL2	
3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	3OAR120	
D-fructose transport via PEP:Pyr PTS (periplasm)	FRUptspp	
"Phosphatidate phosphatase (periplasmic, n-C16:0)"	PAPA160pp	
"3,5-cyclic-nucleotide phosphodiesterase"	PDE1	
"3,5-cyclic-nucleotide phosphodiesterase"	PDE4	
UDP-N-acetyl-D-mannosamine oxidoreductase	UACMAMO	
valine transaminase	VALTA	
ribonucleoside-diphosphate reductase (CDP)	RNDR3	
4-hydroxy-2-oxopentanoate aldolase	HOPNTAL	
"Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)"	PLIPA2G140pp	
ethanesulfonate transport via ABC system (periplasm)	ETHSO3abcpp	
Glucuronate 1-phosphate phosphatase (periplasm)	GUR1PPpp	
adenosylmethionine-8-amino-7-oxononanoate transaminase	AMAOTr	
D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	GAL1Ptex	
succinate-semialdehyde dehydrogenase (NAD)	SSALx	
Lyxose isomerase	LYXI	
"oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)"	OXCOAHDH	
sn-Glycerol 3-phosphate transport via ABC system (periplasm)	GLYC3Pabcpp	
D-serine transport via diffusion (extracellular to periplasm)	DSERtex	
D-serine dehydrogenase	DSERDHr	
Lipid A disaccaride synthase	LPADSS	
phosphopentomutase	PPM	
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	2AGPEAT161	
5-nucleotidase (UMP)	NTD2	
5-nucleotidase (UMP)	NTD2pp	
L-cysteine uptake via ABC system (periplasm)	CYSabcpp	
Spermidine acetyltransferase	SPMDAT1	
Nucleoside triphosphate pyrophosphorylase (atp)	NTPP6	
2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	2AGPEAT180	
galactonate dehydratase	GALCTND	
dihydropteridine reductase (NADH)	DHPTDNRN	
Urea transport via diffusion (extracellular to periplasm)	UREAtex	
cytosine transport in via proton symport (periplasm)	CSNt2pp	
enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	EAR161y	
H2O transport via diffusion (periplasm)	H2Otpp	
UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	UAGPT3	
Phosphatidylglycerol synthase (n-C16:0)	PGSA160	
phosphoribosylformylglycinamidine synthase	PRFGS	
"murein D,D-endopeptidase (murein5px4p) (periplasm)"	MDDEP3pp	
"6-carboxy-5,6,7,8-tetrahydropterin synthase"	CPH4S	
L-rhamnose transport via proton symport (periplasm)	RMNtpp	
"2,5-diketo-D-gluconate reductase (NADPH)"	DKGLCNR2y	
Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)	FRUpts2pp	
glycogen phosphorylase	GLCP	
glycogen phosphorylase	GLCP2	
dihydroneopterin triphosphate 2-epimerase	DHPTPE	
Nucleoside triphosphate pyrophosphorylase (itp)	NTPP9	
nitrious oxide transport via diffusion (extracellular to periplasm)	N2Otex	
aconitate isomerase (spontaneous)	ACONIs	
glutamate dehydrogenase (NADP)	GLUDy	
phosphoenolpyruvate carboxykinase	PPCK	
heptosyltransferase IV (LPS core synthesis)	HEPT4	
ISC [2Fe-2S] regeneration	I2FE2SR	
allantoinase	ALLTN	
adenosine transport via diffusion (extracellular to periplasm)	ADNtex	
galactarate dehydratase	GALCTD	
Dimethyl sulfide transport via diffusion (extracellular to periplasm)	DMStex	
tungstate transport via diffusion (extracellular to periplasm)	TUNGStex	
betaine-aldehyde dehydrogenase	BETALDHx	
betaine-aldehyde dehydrogenase	BETALDHy	
4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol kinase	CDPMEK	
Enoylglutaryl-[ACP] methyl ester reductase	EGMEACPR	
L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	CGLYtex	
3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	3OAS60	
D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)	ALAALAtex	
iron (II) transport in via proton symport (periplasm)	FE2t2pp	
diaminopimelate decarboxylase	DAPDC	
"phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)"	PGPP120pp	
"phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)"	PGPP140pp	
xanthine phosphoribosyltransferase	XPPT	
Octaprenyl pyrophosphate synthase	OCTDPS	
magnesium (+2) transport in via diffusion	MG2tpp	
Glycine betaine transport via proton symport (periplasm)	GLYBt2pp	
L-idonate 5-dehydrogenase	IDOND	
Phytase (periplasm)	PHYTSpp	
GMP reductase	GMPR	
D-glucose O-acetyltransferase	GLCATr	
Thiamine transport via diffusion (extracellular to periplasm)	THMtex	
L-idonate transport via diffusion (extracellular to periplasm)	IDONtex	
"nickel transport via ABC system (uptake, periplasm)"	NI2uabcpp	
selenite transport via diffusion (extracellular to periplasm)	SLNTtex	
L-allo-threonine dehydrogenase	ATHRDHr	
7-deaza-7-carboxyguanine synthase	CDGS	
D-allose transport via ABC system (periplasm)	ALLabcpp	
L-carnitine transport via ABC system (periplasm)	CRNabcpp	
malate dehydrogenase	MDH	
aspartate 1-decarboxylase	ASP1DC	
pyrimidine phosphatase	PMDPHT	
acyl-CoA dehydrogenase (hexanoyl-CoA)	ACOAD2f	
5-deoxyadenosine nuclosidase	5DOAN	
"release of Fe(III) from ferric 2,3-dihydroxybenzoylserine"	FE3DHBZR	
Copper (Cu +1) ABC transporter (periplasm)	CU1abcpp	
L-histidine reversible transport via proton symport (periplasm)	HISt2rpp	
"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)"	PLIPA1E160pp	
Carnitine/butyrobetaine antiporter (periplasm)	CRNt7pp	
2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	DDGLCNtex	
hexokinase (D-glucose:ATP)	HEX1	
2-methylcitrate dehydratase	MCITD	
Formate Dehydrogenase (menaquinone-8) (periplasm)	FDH5pp	
Cysteinyl-tRNA synthetase	CYSTRS	
"D-galacturonate transport via proton symport, reversible (periplasm)"	GALURt2rpp	
Dimethyl sulfoxide reductase (Demethylmenaquinol 8)	DMSOR2	
Propionate kinase	PPAKr	
"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)"	GLBRAN2	
sn-glycerol-3-phosphoserine transport via ABC system (periplasm)	G3PSabcpp	
Methanol reversible transport via diffusion (periplasm)	MEOHtrpp	
tungstate transport via ABC system (periplasm)	TUNGSabcpp	
3-phosphoshikimate 1-carboxyvinyltransferase	PSCVT	
"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	12DGR141tipp	
3-(3-hydroxy-phenyl)propionate hydroxylase	3HPPPNH	
lipid (cold) A transport via ABC system (periplasm)	LIPACabcpp	
taurine transport via diffusion (extracellular to periplasm)	TAURtex	
hydrogen peroxide reductase (thioredoxin)	THIORDXi	
"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)"	PLIPA1G161pp	
Allose transport via diffusion (extracellular to periplasm)	ALLtex	
Na+/myo-inositol symporter (periplasm)	INOSTt4pp	
3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	3OAS140	
adenine transport via diffusion (extracellular to periplasm)	ADEtex	
dihydrodipicolinate synthase	DHDPS	
2-Octaprenylphenol hydroxylase	OPHHX	
lysine decarboxylase	LYSDC	
ATP synthase (four protons for one ATP) (periplasm)	ATPS4rpp	
"ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)"	FE3DHBZStonex	
Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)	LIPAHTex	
N-acetylglucosamine kinase	ACGAMK	
nicotinate-nucleotide diphosphorylase (carboxylating)	NNDPR	
DsbC:glutathione thiotransferase	DSBCGT	
Maltodextrin glucosidase (maltotetraose)	MLTG2	
Phosphonate hydrogenase (periplasm)	PPTHpp	
D-glucose transport in via proton symport (periplasm)	GLCt2pp	
succinate:D-tartrate antiporter (periplasm)	SUCTARTtpp	
protoporphyrinogen oxidase (aerobic)	PPPGO	
"phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)"	PGPP180pp	
glycine reversible transport via proton symport (periplasm)	GLYt2rpp	
D-galactarte transport via diffusion (extracellular to periplasm)	GALCTtex	
"Phospholipase A2 (phosphatidylglycerol, n-C16:1) (periplasm)"	PLIPA2G161pp	
NMN permease (periplasm)	NMNPtpp	
Biotin transport via proton symport (periplasm)	BTNt2ipp	
glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)	G3PEtex	
anhydrous-N-Acetylmuramyl-tripeptide amidase	AM3PA	
glutathione (ox) transport via diffusion (extracellular to periplasm)	GTHOXtex	
uricase	URIC	
phosphoribosylaminoimidazolecarboxamide formyltransferase	AICART	
Glycerol-2-phosphate transport via diffusion (extracellular to periplasm)	GLYC2Ptex	
pyrimidine-nucleoside phosphorylase (uracil)	PYNP2r	
enterobacterial common antigen polymerase (periplasm)	ECAP1pp	
enterobacterial common antigen polymerase (periplasm)	ECAP2pp	
enterobacterial common antigen polymerase (periplasm)	ECAP3pp	
mannitol transport via PEP:Pyr PTS (periplasm)	MNLptspp	
N-Acetylneuraminate lyase	ACNML	
nucleoside-diphosphate kinase (ATP:GDP)	NDPK1	
nicotinamidase	NNAM	
phosphoribosyl-AMP cyclohydrolase	PRAMPC	
ferrichrome transport via ABC system (periplasm)	FECRMabcpp	
Enoylpimeloyl-[ACP] methyl ester reductase	EPMEACPR	
molybdate transport via ABC system (periplasm)	MOBDabcpp	
deoxycytidine deaminase	DCYTD	
acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)	ACPPAT141	
N-acetylmannosamine 6-phosphate epimerase	AMANAPEr	
chloride (Cl-1) transport via diffusion (extracellular to periplasm)	CLtex	
Isoleucyl-tRNA synthetase	ILETRS	
glucuronate isomerase (D-galacturonate)	GUI2	
phopho-L-tyrosine transport via diffusion (extracellular to periplasm)	TYRPtex	
ribonucleoside-diphosphate reductase (UDP)	RNDR4	
"phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)"	PE160abcpp	
3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	HACD7	
"dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase"	AADDGT	
"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)"	PLIPA1A180pp	
glycine transport in via sodium symport (periplasm)	GLYt4pp	
"2,3-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	23PDE7pp	
"nitrite Reductase (Menaquinole-8, periplasm)"	NTRIR4pp	
FMNH2-dependent monooxygenase (methanesulfonate)	FDMO2	
"3-dehydroquinate dehydratase, irreversible"	DHQTi	
Malate transport via proton symport (3 H) (periplasm)	MALt2_3pp	
2-dehydro-3-deoxy-phosphogluconate aldolase	EDA	
phosphoenolpyruvate carboxylase	PPC	
FMNH2-dependent monooxygenase (ethanesulfonate)	FDMO3	
purine-nucleoside phosphorylase (Deoxyinosine)	PUNP6	
3-deoxy-D-manno-octulosonic acid transferase III (LPS core biosynthesis)	MOAT3C	
Nucleoside triphosphate pyrophosphorylase (dttp)	NTPP7	
3-keto-L-gulonate kinase	3KGK	
"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase"	AGM4PH	
"acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)"	ACACT8r	
"phosphatidate transport via ABC system (n-C18:1, periplasm)"	PA181abcpp	
L-alanine reversible transport via proton symport (periplasm)	ALAt2rpp	
N-acetyl-D-galactosamine 1-phosphatase (periplasm)	ACGAL1PPpp	
citrate synthase	CS	
phosphoadenylyl-sulfate reductase (thioredoxin)	PAPSR	
"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)"	LPLIPAL1G180pp	
beta-fructofuranosidase	FFSD	
Gp4G hydrolase	GP4GH	
iron (Fe+2) transport out via proton antiport (periplasm)	FE2t3pp	
methenyltetrahydrofolate cyclohydrolase	MTHFC	
Nucleoside triphosphate pyrophosphorylase (utp)	NTPP8	
galactosyltransferase I (LPS core synthesis)	GALT1	
deoxyuridine transport in via proton symport (periplasm)	DURIt2pp	
D-fructose 6-phosphate phosphatase	F6PP	
Rifampin transport via TolC system	RFAMPtpp	
coproporphyrinogen oxidase (O2 required)	CPPPGO	
"2,5-diketo-D-gluconate reductase (NADH)"	DKGLCNR2x	
fatty-acid-CoA thioesterase (tetradecanoate)	FACOAE140	
Malate dehydrogenase (menaquinone 8 as acceptor)	MDH3	
Ap4A synthetase	AP4AS	
potassium transport via diffusion (extracellular to periplasm)	Ktex	
CMP nucleosidase	CMPN	
L-methionine R-oxide diffusion (extracellular)	METSOX2tex	
"Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)"	PLIPA1G180pp	
Glyceraldehyde facilitated diffusion (periplasm)	GLYALDtpp	
histidinol-phosphatase	HISTP	
enolase	ENO	
"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)"	DHPTDCs2	
propanal transport via diffusion (extracellular to periplasm)	PPALtex	
glyoxalase III	GLYOX3	
"dTDP-4-dehydrorhamnose 3,5-epimerase"	TDPDRE	
diacylglycerol kinase (n-C16:1)	DAGK161	
enterobacterial common antigen (x4) O-antigen ligase (periplasm)	ECA4OALpp	
phosphoribosylpyrophosphate synthetase	PRPPS	
Citrate lyase	CITL	
O-succinylhomoserine lyase (L-cysteine)	SHSL1	
Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	MAN6Ptex	
pyridoxamine import	PYDAMtpp	
L-arginine transport out via proton antiport (cytoplasm to periplasm)	ARGt3pp	
pyruvate formate lyase	PFL	
aminopropanol dehydrogenase reversible	APPLDHr	
L-ribulose-phosphate 4-epimerase	RBP4E	
Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm)	TYROXDApp	
phosphopantothenoylcysteine decarboxylase	PPCDC	
L-threonine transport via ABC system (periplasm)	THRabcpp	
"aconitase (half-reaction B, Isocitrate hydro-lyase)"	ACONTb	
Maltodextrin phosphorylase (maltoheptaose)	MLTP3	
phosphoribosylaminoimidazole carboxylase (mutase rxn)	AIRC3	
Fructoselysine transport via proton symport (periplasm)	FRULYSt2pp	
xylose isomerase	XYLI1	
xylose isomerase	XYLI2	
"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"	KARA1	
methionine adenosyltransferase	METAT	
CDP-Diacylglycerol pyrophostatase (n-C18:0)	CDAPPA180	
zinc (Zn+2) transport out via proton antiport (periplasm)	ZN2t3pp	
"2,3-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	23PDE4pp	
UDP-D-glucuronate pyrophosphohydrolase (periplasm)	UGLCURPpp	
CTP synthase (glutamine)	CTPS2	
UDPgalactopyranose mutase	UDPGALM	
"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase"	AGM3PH	
maltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	MALTtexi	
3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	HACD2	
argininosuccinate lyase	ARGSL	
tungsten pterin cofactor synthase	WCOS	
homoserine kinase	HSK	
UMP transport via diffusion (extracellular to periplasm)	UMPtex	
fatty-acyl-ACP hydrolase	FA100ACPHi	
fatty-acyl-ACP hydrolase	FA120ACPHi	
fatty-acyl-ACP hydrolase	FA140ACPHi	
fatty-acyl-ACP hydrolase	FA141ACPHi	
fatty-acyl-ACP hydrolase	FA160ACPHi	
fatty-acyl-ACP hydrolase	FA161ACPHi	
fatty-acyl-ACP hydrolase	FA80ACPHi	
acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	ACACT4r	
N-acetylneuraminate transport via diffusion (extracellular to periplasm)	ACNAMtex	
Asparaginyl-tRNA synthetase	ASNTRS	
nitrious oxide transport (diffusion)	N2Otpp	
acyl-(acyl carrier protein):phosphate acyltransferase (C18:1)	ACPPAT181	
"Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)"	PLIPA2A141pp	
Oxalyl-CoA decarboxylase	OXCDC	
4-aminobenzoate synthase	ADCL	
acetaldehyde dehydrogenase (acetylating)	ACALD	
methionine oxidation 2 (spontaneous)	METOX2s	
deoxyribose-phosphate aldolase	DRPA	
ferroxidase	FEROpp	
"Phospholipase A1 (phosphatidate, n-C14:0) (periplasm)"	PLIPA1A140pp	
Fe(III) hydroxamate Fe-loading reaction (spontaneaous)	FE3HOXexs	
uridine transport via diffusion (extracellular to periplasm)	URItex	
6-hydroxymethyl-dihydropterin pyrophosphokinase	HPPK2	
acyl-CoA dehydrogenase (tetradecanoyl-CoA)	ACOAD6f	
3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	3OAR161	
L-phenylalanine reversible transport via proton symport (periplasm)	PHEt2rpp	
polyphosphate kinase	PPK2r	
polyphosphate kinase	PPKr	
"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)"	PLIPA1E120pp	
L-malate transport out via proton antiport (periplasm)	MALt3pp	
phosphatidylglycerol phosphate phosphatase (n-C18:1)	PGPP181	
carbamoyl-phosphate synthase (glutamine-hydrolysing)	CBPS	
"Phosphatidate phosphatase (periplasmic, n-C14:0)"	PAPA140pp	
nitric oxide transport via diffusion (extracellular to periplasm)	NOtex	
protoheme transport via ABC system (periplasm)	PHEMEabcpp	
"glycolate transport via proton symport, reversible (periplasm)"	GLYCLTt2rpp	
Trimethylamine N-oxide reductase (demethylmenaquinol 8)	TMAOR2	
"Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)"	PLIPA1G120pp	
Methylmalonyl-CoA mutase	MMM	
L-aspartate oxidase	ASPO3	
L-aspartate oxidase	ASPO4	
L-aspartate oxidase	ASPO5	
L-aspartate oxidase	ASPO6	
"cardiolipin synthase (periplasmic, n-C12:0)"	CLPNS120pp	
GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	ANHGMtex	
prephenate dehydrogenase	PPND	
glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)	G3PItex	
undecaprenyl phosphate-L-Ara4FN formylase	UPLA4FNF	
Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	HDCAtexi	
"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)"	PLIPA1E140pp	
5-nucleotidase (dAMP)	NTD6	
5-nucleotidase (dAMP)	NTD6pp	
enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	EAR140y	
pyruvate dehydrogenase	PDH	
alanine racemase	ALAR	
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	2AGPE180tipp	
SUF [2Fe-2S] Transfer	S2FE2ST	
Na+/Acetate symport (periplasm)	ACt4pp	
fumarate reductase	FRD2	
fumarate reductase	FRD3	
Acetate transport via diffusion (extracellular to periplasm)	ACtex	
aerobactin reductase	ARBTNR1	
aerobactin reductase	ARBTNR2	
aerobactin reductase	ARBTNR3	
glycerate kinase	GLYCK	
glycerate kinase	GLYCK2	
selenate transport via proton symport (periplasm)	SELtpp	
Allose 6-phosphate isomerase	ALLPI	
L-cysteine export via facilitated transport	CYStpp	
nicotinic acid mononucleotide pyrophosphorylase	NAMNPP	
L-Lyxose transport via diffusion (extracellular to periplasm)	LYXtex	
nucleoside-diphosphate kinase (ATP:dTDP)	NDPK4	
Nitrate reductase (Ubiquinol-8)	NO3R1bpp	
3CMP transport via diffusion (extracellular to periplasm)	3CMPtex	
Ornithine Decarboxylase	ORNDC	
"apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)"	ALPATG160pp	
Minocycline transport via TolC system	MINCYCtpp	
fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling)	FACOAL180t2pp	
L-glutamate transport via ABC system (periplasm)	GLUabcpp	
iron transport from ferric-dicitrate via ABC system (periplasm)	FE3DCITabcpp	
adenosylmethionine decarboxylase	ADMDC	
glutathione hydralase (periplasmic)	GTHRDHpp	
N-acetyl-g-glutamyl-phosphate reductase	AGPR	
Nucleoside triphosphate pyrophosphorylase (ditp)	NTPP10	
Coprogen transport via ton system (extracellular)	CPGNtonex	
"uracil transport in via proton symport, reversible (periplasm)"	URAt2rpp	
"tetrapeptide L,D-carboxypeptidase (periplasm)"	4PCPpp	
3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	ECOAH5	
"murein D,D-carboxypeptidase (murein5p3p) (periplasm)"	MDDCP5pp	
adenosine transport in via proton symport (periplasm)	ADNt2pp	
glucose-1-phosphate adenylyltransferase	GLGC	
L-alanine transport in via sodium symport (periplasm)	ALAt4pp	
beta D-galactose transport via diffusion (extracellular to periplasm)	GALBDtex	
"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)"	LPLIPAL1G120pp	
glutamyl-tRNA reductase	GLUTRR	
enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	EAR160x	
2-dehydropantoate 2-reductase	DPR	
Chorismate pyruvate lyase	CHRPL	
DsbA protein reoxidation reaction (aerobic)	DSBAO1	
enterochelin synthase	ENTCS	
4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	AMPMS2	
1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)	AGPAT141	
hexokinase (D-mannose:ATP)	HEX4	
glutathione synthetase	GTHS	
cobalt (Co+2) transport via diffusion (extracellular to periplasm)	COBALT2tex	
D-mannose transport via PEP:Pyr PTS (periplasm)	MANptspp	
cytidine deaminase	CYTD	
HCO3 equilibration reaction	HCO3E	
